creative_id,human_present,product_prominence,water_or_glass_prominence,text_density,environment,proof_visible,data_type
brio_cr_001,False,high,high,high,studio,True,public_ad_observed_analysis
brio_cr_002,False,low,none,low,abstract,False,demo_synthetic
brio_cr_003,False,medium,high,medium,studio,True,public_ad_observed_analysis
brio_cr_004,False,high,none,medium,none,True,public_ad_observed_analysis
brio_cr_005,False,high,none,medium,none,False,public_ad_observed_analysis
brio_cr_006,False,high,none,high,studio,True,demo_synthetic
brio_cr_007,True,medium,medium,low,home,True,demo_synthetic
brio_cr_008,False,high,none,medium,none,True,public_ad_observed_analysis
brio_cr_009,False,high,medium,high,home,False,public_ad_observed_analysis
brio_cr_010,True,medium,medium,low,home,False,demo_synthetic
brio_cr_011,True,medium,medium,low,home,False,demo_synthetic
brio_cr_012,True,medium,medium,medium,home,False,demo_synthetic
brio_cr_013,True,medium,low,low,home,False,demo_synthetic
brio_cr_014,False,high,low,high,studio,False,demo_synthetic
brio_cr_015,True,medium,low,low,home,False,demo_synthetic
brio_cr_016,False,low,none,low,abstract,False,demo_synthetic
brio_cr_017,True,medium,medium,low,home,False,demo_synthetic
brio_cr_018,False,high,none,high,studio,False,demo_synthetic
brio_cr_019,True,medium,medium,low,home,False,demo_synthetic
brio_cr_020,False,high,none,low,studio,False,demo_synthetic
brio_cr_021,False,high,none,low,studio,True,demo_synthetic
brio_cr_022,False,high,none,low,studio,False,demo_synthetic
brio_cr_023,True,medium,low,low,home,False,demo_synthetic
brio_cr_024,False,high,none,high,studio,True,demo_synthetic
