date,client_id,campaign_id,ad_id,creative_id,spend,impressions,clicks,landing_page_views,add_to_carts,purchases,revenue,data_type
2026-07-16,brio,brio_cmp_001,brio_ad_001,brio_cr_001,50.15,3242,42,40,3,0,0,demo_synthetic
2026-07-17,brio,brio_cmp_001,brio_ad_001,brio_cr_001,33.0,2073,28,23,1,0,0,demo_synthetic
2026-07-18,brio,brio_cmp_001,brio_ad_001,brio_cr_001,47.93,2737,36,31,1,0,0,demo_synthetic
2026-07-19,brio,brio_cmp_001,brio_ad_001,brio_cr_001,41.39,2368,31,27,1,0,0,demo_synthetic
2026-07-20,brio,brio_cmp_001,brio_ad_001,brio_cr_001,33.96,1945,20,18,0,0,0,demo_synthetic
2026-07-21,brio,brio_cmp_001,brio_ad_001,brio_cr_001,32.98,1904,30,27,0,0,0,demo_synthetic
2026-07-22,brio,brio_cmp_001,brio_ad_001,brio_cr_001,39.6,2464,38,31,0,0,0,demo_synthetic
2026-07-23,brio,brio_cmp_001,brio_ad_001,brio_cr_001,40.29,2468,35,33,2,0,0,demo_synthetic
2026-07-24,brio,brio_cmp_001,brio_ad_001,brio_cr_001,40.22,2505,46,44,1,0,0,demo_synthetic
2026-07-25,brio,brio_cmp_001,brio_ad_001,brio_cr_001,40.76,2335,37,36,1,0,0,demo_synthetic
2026-07-26,brio,brio_cmp_001,brio_ad_001,brio_cr_001,34.53,2142,22,20,2,0,0,demo_synthetic
2026-07-27,brio,brio_cmp_001,brio_ad_001,brio_cr_001,34.53,1929,28,28,1,0,0,demo_synthetic
2026-07-28,brio,brio_cmp_001,brio_ad_001,brio_cr_001,34.1,1934,32,31,2,0,0,demo_synthetic
2026-07-29,brio,brio_cmp_001,brio_ad_001,brio_cr_001,46.08,2689,34,31,1,0,0,demo_synthetic
2026-07-30,brio,brio_cmp_001,brio_ad_001,brio_cr_001,34.05,2090,24,22,3,1,307.12,demo_synthetic
2026-07-31,brio,brio_cmp_001,brio_ad_001,brio_cr_001,43.64,2509,29,27,3,0,0,demo_synthetic
2026-08-01,brio,brio_cmp_001,brio_ad_001,brio_cr_001,44.85,2856,54,51,0,1,285.3,demo_synthetic
2026-08-02,brio,brio_cmp_001,brio_ad_001,brio_cr_001,42.34,2547,48,42,0,0,0,demo_synthetic
2026-08-03,brio,brio_cmp_001,brio_ad_001,brio_cr_001,38.27,2108,25,20,3,0,0,demo_synthetic
2026-08-04,brio,brio_cmp_001,brio_ad_001,brio_cr_001,42.82,3057,42,36,0,0,0,demo_synthetic
2026-08-05,brio,brio_cmp_001,brio_ad_001,brio_cr_001,42.84,2375,35,32,2,0,0,demo_synthetic
2026-08-06,brio,brio_cmp_001,brio_ad_001,brio_cr_001,46.34,2789,33,27,1,0,0,demo_synthetic
2026-08-07,brio,brio_cmp_001,brio_ad_001,brio_cr_001,31.5,1911,26,26,0,0,0,demo_synthetic
2026-08-08,brio,brio_cmp_001,brio_ad_001,brio_cr_001,43.65,2387,25,24,0,0,0,demo_synthetic
2026-08-09,brio,brio_cmp_001,brio_ad_001,brio_cr_001,36.28,2415,31,29,2,0,0,demo_synthetic
2026-08-10,brio,brio_cmp_001,brio_ad_001,brio_cr_001,40.11,2350,31,26,1,0,0,demo_synthetic
2026-08-11,brio,brio_cmp_001,brio_ad_001,brio_cr_001,35.8,2149,33,33,2,0,0,demo_synthetic
2026-08-12,brio,brio_cmp_001,brio_ad_001,brio_cr_001,36.14,2198,32,31,1,0,0,demo_synthetic
2026-08-13,brio,brio_cmp_001,brio_ad_001,brio_cr_001,41.75,2754,28,26,4,0,0,demo_synthetic
2026-08-14,brio,brio_cmp_001,brio_ad_001,brio_cr_001,39.58,2554,34,31,2,0,0,demo_synthetic
2026-08-15,brio,brio_cmp_001,brio_ad_001,brio_cr_001,29.14,1818,17,16,1,0,0,demo_synthetic
2026-08-16,brio,brio_cmp_001,brio_ad_001,brio_cr_001,38.26,2150,31,30,1,0,0,demo_synthetic
2026-08-17,brio,brio_cmp_001,brio_ad_001,brio_cr_001,45.42,2343,36,28,2,0,0,demo_synthetic
2026-08-18,brio,brio_cmp_001,brio_ad_001,brio_cr_001,39.31,2476,24,22,1,0,0,demo_synthetic
2026-08-19,brio,brio_cmp_001,brio_ad_001,brio_cr_001,39.99,2468,36,35,1,0,0,demo_synthetic
2026-08-20,brio,brio_cmp_001,brio_ad_001,brio_cr_001,38.02,2243,29,29,1,0,0,demo_synthetic
2026-08-21,brio,brio_cmp_001,brio_ad_001,brio_cr_001,35.44,2270,38,36,3,0,0,demo_synthetic
2026-08-22,brio,brio_cmp_001,brio_ad_001,brio_cr_001,37.8,2443,26,22,2,0,0,demo_synthetic
2026-08-23,brio,brio_cmp_001,brio_ad_001,brio_cr_001,38.61,2373,36,33,3,0,0,demo_synthetic
2026-08-24,brio,brio_cmp_001,brio_ad_001,brio_cr_001,32.32,1951,26,24,1,0,0,demo_synthetic
2026-08-25,brio,brio_cmp_001,brio_ad_001,brio_cr_001,31.22,1701,24,23,0,1,247.15,demo_synthetic
2026-08-26,brio,brio_cmp_001,brio_ad_001,brio_cr_001,37.67,2143,31,29,3,0,0,demo_synthetic
2026-08-27,brio,brio_cmp_001,brio_ad_001,brio_cr_001,40.78,2519,28,25,2,0,0,demo_synthetic
